department,evaluate_time,introduce,link,name
机械与运载工程学部,2015,    陈学东（1964.08.13- ）。特种设备设计制造与运行维护工程科技专家。安徽省铜陵市人。1986年毕业于浙江大学化工机械与设备专业。2004年获浙江大学化工过程机械专业博士学位。中国工程院院士。长期从事压力容器与管道安全工程技术的研究与应用，突破极端条件下压力容器设计、制造与维护关键难题，为我国重大承压设备自主设计制造和压力容器万台设备年事故率逐年下降做出了突出贡献。现任合肥通用机械研究院院长，兼任国家压力容器与管道安全工程技术研究中心主任。获得国家科技进步一等奖1项、二等奖5项，授权发明专利20多项，发表论文200余篇（其中SCI、EI论文80余篇）。     2015年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/35791989.html,陈学东
机械与运载工程学部,2011,    郭东明（1959.04.30- ）。机械制造及自动化专家。河南省温县人。1982年1月大连工学院本科毕业，1984年和1992年在该校硕士和博士研究生毕业，现任大连理工大学教授、博士生导师、校长。     长期从事精密超精密加工与测试、数字化制造工艺技术与装备方向研究，形成了工艺理论基础研究与工艺装备研发应用密切结合的研究特色。在高性能零件精密制造、难加工材料零件精密超精密加工等方面取得突出成就，提出高性能复杂曲面零件的性能与几何参数一体化精密加工方法，主持研究出系列化制造技术及装备，为解决国家重大工程中的关键制造工艺技术难题做出重要贡献。获国家技术发明一等奖1项、发明二等奖1项，国家科技进步二等奖1项，省部级一等奖5项，“十一五”国家科技计划执行突出贡献奖。是国家杰出青年基金获得者，先后被评为辽宁省和大连市特等劳动模范，全国先进工作者。授权发明专利13项；出版专著2部、编著1部，主编国际会议文集6本；发表学术论文200余篇；培养出博士后9人、博士32人、硕士50人。目前还担任中国机械工程学会副理事长和中国机械工程学会生产工程分会主任委员。     2011年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/03128697.html,郭东明
机械与运载工程学部,1901,    关杰（1939.11.13- ）。连铸设备专家。生于印度尼西亚，福建莆田市人。1963年毕业于北京钢铁学院。现任中国重型机械研究院股份公司（原西安重型机械研究所）副总工程师、研究员级高级工程师。     长期从事连续铸钢设备的设计、研究和开发工作。先后主持和参加过各类连铸机（方、板坯连铸机）单机设备和成套设备的设计和研制，国家重点科技攻关课题、国家重大技术装备项目等40余项。获实用新型专利3项。先后撰写、发表科技论文和译文10余篇。曾获全国科技大会奖、国家科技进步奖一、二等奖各一项，省部级奖多项。     1997年当选中国工程院院士。,http://www.cae.cn/cae/html/main/colys/00779438.html,关杰
机械与运载工程学部,1999,"    高金吉（1942.12.01- ）。设备诊断工程专家。辽宁本溪人。1966年毕业于北京化工学院，1993年获清华大学工学博士学位。北京化工大学教授，校学术委员会主任。中国石油辽阳石化公司原副总工程师。现任高端机械装备健康监控与自愈化北京市重点实验室主任，GF973项目首席科学家，中国振动工程学会设备诊断分会主任委员。曾任中国振动工程学会副理事长，中国设备管理协会副会长。国家有突出贡献中青年科技专家。     1979年在国内工业企业率先开发应用设备诊断技术，攻克了国家重点工程辽化试车、生产中多项关键设备重大技术难关；研制出机泵群网络化监测诊断系统、振动诊断软件包和预知维修系统，取得重大经济和社会效益。创建北化大诊断与自愈工程研究中心，自主研发基于工业互联网的数采系统和故障诊断专家系统，建立远程监测诊断中心，对50多企业两千余台关键机组实时监测诊断，避免数十起重大事故。该成果在多领域能动机械预警和健康管理系统应用成效显著。2003年在国际学术界提出“装备故障自愈化”的原理，带领团队在旋转机械自动动平衡和振动故障自愈调控等技术取得重要成果。近年来获省部级科技进步特等奖和国家教学成果二等奖，发表论文百余篇，出版《机器故障诊治与自愈化》等著作3本。2008年、2016年世界工程资产管理与智能维修大会主席,2016年COMADEM大会主席，2016年7月被国际工程资产管理协会（ISEAM）授予年度唯一的“世界工程资产管理先进领域终身成就奖”荣誉称号。     1999年当选为中国工程院院士。",http://www.cae.cn/cae/html/main/colys/15801057.html,高金吉
机械与运载工程学部,2011,    甘晓华（1957.01.12- ）。航空发动机专家。江西省进贤县人。1982年1月本科毕业于南京航空航天大学，1989年博士毕业于北京航空航天大学。第十、十一、十二届全国政协委员。曾任空军装备研究院总工程师，现任空军研究院航空兵研究所高级工程师、中国设备管理学会副会长、中国航空学会副理事长、学术委员会主任和动力分会主任。     长期从事航空发动机技术和发展研究。主持航空发动机多项基础研究和关键技术研发，修复和改进了多型飞机发动机，提升了使用性能和寿命，解决了发动机及飞机停飞停用问题；主持研发了高超声速风洞燃烧加热技术，为实现新一代常规大型系列高超声速风洞起到关键作用。参与了国家飞机和发动机发展战略研究，任国家“大飞机”和“航空发动机与燃气轮机”等科技重大专项的国务院专家委员会成员，从事发展方案制定和研制技术指导。作为第一完成人获国家科技进步二等奖4项。立一等功1次、二等功5次。2009年被评为“全国杰出专业技术人才”， 2012年被评为“全国优秀科技工作者”。     2011年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/71311121.html,甘晓华
机械与运载工程学部,2017,    冯煜芳（1963.01.29- ）。导弹弹头与战斗部技术专家。浙江省余姚市人，中共党员。1987年毕业于国防科技大学，2008年获航天科技集团一院博士学位。曾任第二炮兵装备研究院第二研究所所长。现任火箭军研究院研究员。兼任国务院、中央军委军工产品定型委员会专家咨询委员会委员，第五届全军武器装备科学技术奖专家评审委员会委员，中央军委科学技术委员会核与军控领域专家委员会委员、弹头与战斗部技术专业组组长。     长期从事地地弹道导弹核弹头、常规弹头装备论证与使用技术研究工作，取得多项创新性成果，为火箭军核常弹头发展与实战化建设做出了重大贡献。先后以第一完成人获国家科技进步二等奖4项、国家技术发明二等奖1项。荣立一、二、三等功各1次。1997年享受政府特殊津贴；1999年评为国家有突出贡献的中青年专家；2000年获第二炮兵第二届专业技术重大贡献奖；2004年入选新世纪百千万人才工程国家级人选；2006年获军队专业技术重大贡献奖；2009年获第二炮兵科技工作突出贡献奖；2014年被确定为军队科技领军人才；2016年入选国家“万人计划”百千万工程领军人才。     2017年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/48072917.html,冯煜芳
机械与运载工程学部,2009,    董春鹏（1942.08.10- ）。水中兵器专家。河北省秦皇岛市人。1966年毕业于中国科技大学。现任中国船舶重工集团公司第七0五研究所某国家重点工程型号总设计师，研究员，博士生导师。总装备部科技委兼职委员，中国造船工程学会理事。享受国务院政府特殊津贴专家。曾任第七0五研究所总工程师。     长期致力于鱼雷技术研究工作。承担多型国家重点工程型号的研制，攻克了诸多技术难关，取得多项创新成果。主持或参与的型号项目分别获国家科技进步一等奖1项，国防科工委等省部级科技进步特等奖和一、二等奖7项，获陕西省有突出贡献专家，国家高技术武器装备建设工程重大贡献奖和金质奖章。发表论文数十篇，培养博士后、博士7名，硕士生多名。     2009年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/46604755.html,董春鹏
机械与运载工程学部,1901,    樊会涛（1962.10.18- ）。空空导弹专家。河南省汝阳县人。中共党员。1986年毕业于西北工业大学航空发动机专业，获硕士学位；2010年毕业于北京航空航天大学宇航推进理论与工程专业，获博士学位。曾任中国空空导弹研究院总设计师、副院长。现任中国航空工业集团有限公司科技委副主任，第十届、十一届、十二届、十三届全国人大代表。俄罗斯工程科学院外籍院士。     一直从事空空导弹型号研制和预先研究工作，先后参加和主持了多个空空导弹型号的研制，是三个空空导弹型号的总设计师。主持研制的空空导弹达到了世界先进水平，填补了我国空空导弹领域发展的多项技术空白，实现了从第三代到第四代的跨越发展。担任总编编写了《空空导弹设计丛书》，出版著作《空空导弹方案设计原理》。获得国防发明专利9项，发表论文32篇。2007年和2012年，作为第一完成人分别获“国家科技进步一等奖、二等奖”各一项；2016年作为第一带头人获国防科技创新团队奖。2007年被中共中央、国务院、中央军委授予“高技术武器装备发展建设工程重大贡献奖”；2010年被中央组织部、国防科工局、人力资源部、中国科学院、中国工程院授予“第二届国防科技工业杰出人才奖”；2016年获何梁何利科学与技术进步奖。     2013年当选中国工程院院士。,http://www.cae.cn/cae/html/main/colys/42793697.html,樊会涛
机械与运载工程学部,2011,    丁荣军（1961.11.12- ）。电力电子及控制技术专家。江苏省无锡市人。1984年毕业于西南交通大学电力机车专业。2008年获中南大学工学博士学位。现任株洲电力机车研究所所长，兼任变流技术国家工程研究中心主任，教授级高级工程师。     长期从事轨道交通牵引控制、牵引变流和网络控制技术的创新研究和成果转化，为中国铁路从普载到重载、从常速到高速的突破发展做出了重大贡献。主持交流传动系统及高性能控制技术研究与应用，创建了适合我国国情的标准体系并与国际接轨的技术模式，获2005年国家科技进步二等奖。主持特大功率半导体器件技术研究与应用，构建了我国自主品牌电力电子器件技术体系，获2010年国家科技进步二等奖。已共主持7项国家级科研项目，先后获“詹天佑科技成就奖”、“茅以升科学技术奖”、“新世纪百千万人才工程国家级人选”和“全国劳动模范”等荣誉。     2011年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/25235806.html,丁荣军
机械与运载工程学部,1999,"    杜善义（1938.08.20- ）。力学和复合材料专家。辽宁省大连人。中共党员。1964年毕业于中国科学技术大学近代力学系，后又在美国乔治华盛顿大学作访问学者。曾任哈尔滨工业大学航天学院院长、副校长，第十、十一届全国人大代表，国际复合材料委员会执委，国家自然基金委重大研究计划指导专家组组长，中国复合材料学会理事长，中国力学学会副理事长等职。现任哈尔滨工业大学教授、中国航天科技集团高级技术顾问，中国科学技术大学工程科学院院长，国防科工局科技委委员，中国商用飞机有限责任公司专家咨询组成员。     长期从事飞行器结构力学和复合材料的教学及科研工作。八十年代初明确提出力学与材料结合，将细观力学应用到复合材料的分析和应用中，建立了材料/结构一体化、设计/分析/评价一体化、模拟/表征/优化理论。本世纪初构建了“轻、热、功、智”的先进复合材料与结构需求与发展模式，解决了国家安全和国民经济中装备结构轻量化、抗极端化、多功能化和智能化中的多项关键科学与技术问题，在推动先进复合材料应用和临近空间飞行器基础问题研究中做出了贡献。所创研究团队获国家自然基金委创新研究群体、国家“111”引智团队支持，全国创新争先奖牌、全国专业技术人才先进集体、国防科技创新团队、工人先锋号等表彰。个人获国家科技进步二等和三等奖各1项、国家技术发明二等奖和国家自然科学二等奖各2项，国家教学成果二等奖,何梁何利科学与技术进步奖，全国优秀和模范教师称号，并获国际复合材料委员会 WORLD FELLOW 荣誉称号，是首位获得该荣誉的中国科学家。发表论文200余篇，撰写《复合材料细观力学》、《智能材料系统及结构》等著作10部，已培养博士77名。     1999年当选为中国工程院院士。",http://www.cae.cn/cae/html/main/colys/90928776.html,杜善义
机械与运载工程学部,1901,"    冯培德（1941.04.07- ）。飞行器导航控制专家。原籍广东恩平人,生于天津市。1963年本科毕业于北大数学力学系，1966年研究生毕业于南航自控制系，1981年至1983年赴美留学。现任中国航空工业集团公司科技委副主任，同时担任北京航空航天大学博士生导师。1984年至2001年任航空工业飞行自动控制研究所所长。国家大飞机工程专家咨询委员会成员，第十一届全国政协委员。     作为总设计师曾主持国家专项，研制出采用挠性器件的平台式航空惯性导航系统,填补了国家空白。近年来从事激光陀螺旋转调制式捷联惯导系统和各类组合导航系统的应用研究工作,还率先提出了光纤陀螺平台/捷联混合型惯性导航系统的新技术途径。曾先后获国家科技进步特等奖、二等奖各一次，航空金奖一次。曾获国家先进工作者、航空航天部劳动模范称号。     2001年当选中国工程院院士。",http://www.cae.cn/cae/html/main/colys/15623030.html,冯培德
机械与运载工程学部,1994,    路甬祥（1942.04.28- ）。生于浙江宁波，男，汉族，流体传动与控制专家。中共党员。1964年毕业于浙江大学。1979年作为洪堡学者赴德国研修，1981年获亚琛大学工程科学博士学位。回国后曾任浙江大学流体传动及控制研究所所长、中国科协副主席、浙江大学校长、中国科学院院长、中国机械学会理事长、国务院学位委员会副主任委员、发展中国家科学院副院长、国际科学委员会（IAC）共同主席，十届、十一届全国人大常委会副委员长。现任中国机械工程学会荣誉理事长、中国科学院学部主席团名誉主席、中国产学研合作促进会会长、国务院《中国制造2025》专家咨询委员会主任。     长期从事于流体传动及控制技术研究。上世纪80年代，提出“系统流量检测力反馈”、“系统压力直接检测和反馈”等原理，并与机电液一体化插装技术相结合，开发出系列新型电液控制器件与工程系统，曾被认为是电液控制技术的重要进展，被德、日、瑞等多国列入教材、手册和专著。两度获国家发明奖、多项国家级和省部级科技进步奖。致力于我国机械工程、高等教育、知识技术和设计创新以及国际科教合作，曾获“光华科学基金”特等奖、德国鲁道夫.狄塞尔金质奖章、联邦星级大十字勋章、意大利总统科学与文化金质奖章、发展中国家科学院“萨拉姆”科技奖章、美国机械工程学会科斯基流体传动与控制终身成就奖、中国机械工程学会科技成就奖。两度获国家工程教育与高等教育奖。被选为德国联邦科学院院士，俄、澳、匈等科学院外籍院士，获美英澳瑞新等国与香港地区17所著名大学名誉博士学位。     1991年当选为中国科学院院士、1994年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/40561490.html,路甬祥
机械与运载工程学部,1901,    邓宗全（1956.10.02- ）。宇航空间机构学专家，黑龙江省双鸭山市宝清县人。1984年毕业于哈尔滨工业大学，获硕士学位。现任教育部高等学校机械基础课程教学指导委员会主任委员，宇航空间机构及控制技术国防重点学科实验室主任，哈尔滨工业大学教授。曾任国务院学位委员会机械工程学科评议组成员，哈尔滨工业大学副校长。     长期从事宇航空间机构与特种机器人的设计理论与技术研究。为我国探月工程、深空探测、大型空间折展机构与型号武器的机构创新及应用做出重大贡献。获国家技术发明二等奖2项、国家科技进步三等奖1项、省部级一等奖3项。著书2部，授权发明专利81项。     2017年当选中国工程院院士。,http://www.cae.cn/cae/html/main/colys/01567139.html,邓宗全
机械与运载工程学部,1901,    刘人怀（1940.07.20- ）。板壳结构分析与应用专家。四川省成都市人。1963年毕业于兰州大学。现任暨南大学教授，中国振动工程学会理事长、中国复合材料学会副理事长、教育部科技委管理科学部主任。曾任暨南大学校长。     我国板壳结构理论与应用研究开拓者之一。与他人共同创立求解非线性微分方程的修正迭代法，研究了6类板壳的非线性弯曲、稳定和振动问题，在国际上第一次提出了精密仪器仪表心脏——弹性元件设计公式。系统提出了夹层和复合材料飞行器结构元件设计公式。在厚板壳弯曲领域进行了创造性研究，提出了弯曲理论及相应的设计公式。上述成果受到工程重要应用。此外，还在管理科学理论与应用方面开展了研究。获省部级自然科学奖、科技进步奖一等奖3项，二等奖2项。发表论文140余篇，培养博士近40人。     1999年当选为中国工程院机械与运载工程学部院士。2000年又当选为中国工程院工程管理学部院士。,http://www.cae.cn/cae/html/main/colys/12112202.html,刘人怀
机械与运载工程学部,2005,    卢秉恒（1945.02.05- ）。机械工程专家。安徽省亳州市人。1967年毕业于合肥工业大学机械制造工艺与设备专业，1986年获西安交通大学机械制造与自动化专业博士学位。现任西安交通大学机械工程学院院长、教授、博士生导师。兼任国务院学位委员会机械学科评议组召集人、国家自然科学基金咨询委员、中国机械工程学会副理事长，中国机械制造工艺协会副理事长等。     长期致力于先进制造技术的研究，主要开展了增材制造、生物制造、微纳制造与电子制造装备等方面的科研和教学工作。开发了国际首创的紫外光快速成型机及具有国际先进水平的机、光、电一体化快速制造设备和一系列快速模具制造技术，发明了农业节水滴灌器抗堵结构及其一体化开发方法。先后主持“九•五”、“十•五”国家重点科技攻关项目及国家自然科学基金、973课题等重大重点项目20余项，发表论文300余篇，获发明专利30余项，实用新型专利3项。2001年荣获全国五一劳动奖章、“九五”国家重点攻关计划突出贡献者称誉。荣获蒋氏科技成就奖1项，教育部科学技术进步一等奖1项，国家科学技术进步二等奖1项，陕西省科学技术一等奖1项，国家技术发明二等奖1项。     2005年当选为中国工程院院士。,http://www.cae.cn/cae/html/main/colys/34879956.html,卢秉恒
