XB,evaluate_time,introduce,link,name
数学物理学部,1993,天体物理学家，1938年2月生于湖南益阳。1963年毕业于北京大学地球物理系。1993年当选为中国科学院院士。2002年当选为第三世界科学院院士。中国科学院国家天文台研究员。曾任中国科学院北京天文台台长，中国科学院数学物理学部主任，1997～2000年任国际天文学联合会第十委员会主席。独立发明并主持研制了太阳磁场望远镜主持太阳磁场与速度场研究，取得重要研究成果发明以双折射滤光器为基础的两维同时光谱仪，将太阳磁场测量方法连续推进了三代主持研制了太阳多通道望远镜。1987年获国家科技进步奖一等奖。1994年获中国科学院自然科学奖一等奖。1995年获中国科学院科技进步奖一等奖。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090626_1854608.html,艾国祥
数学物理学部,1991,"晶体学家 1933年8月生于广东广州，籍贯广东南海。1956年毕业于北京大学化系。1991年当选为中国科学院学部委员(院士)，2000年当选为发展中国家科学院院士。现任中国科学院物理研究所研究员。曾任中国科学技术大学、中山大学、北京大学兼职教授；第十四、十五届国际晶体学会晶体学计算委员会委员。范海福因处理由晶体赝对称性引起的衍射相位模糊问题、与李方华合作建立高分辨电子显微学中的图像处理新方法、将直接法用于蛋白质晶体结构分析、创建多维空间直接法以测定含周期性缺陷的晶体结构等工作。曾应邀在国际学术会议上作报告40余次，并获得1987年国家自然科学二等奖、1991年中国物理学会叶企孙奖（第二获奖人）、1992年国家科技进步奖二等奖（第二获奖人）、1996年第三世界科学院物理奖、1998年何梁何利科技进步奖、2005年国家自然科学二等奖（第二获奖人）、2006年陈嘉庚数理科学奖。与英国皇家学会会员合作出版专著一部：M. M. Woolfson & Fan Hai-fu, Physical and Non-physical Methods of Solving Crystal Structures. Cambridge University Press, 1995。",http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090624_1792071.html,范海福
数学物理学部,2015,空气动力学家 1960年9月生于四川绵阳。1987年毕业于西北工业大学空气动力学专业，1989年在西北工业大学获硕士学位，1992年在中国空气动力研究与发展中心获博士学位。2015年当选为中国科学院院士。 国防科技大学教授、校长。长期从事空气动力学数值模拟研究。解决了高精度紧致格式捕捉激波的难题，构造了以WCNS为代表的系列高精度格式；提出了对称守恒网格导数计算原则(SCMM)，解决了高精度算法工程应用的难题；主持研发了基于天河高效能计算机的“高精度数值风洞”和“高超声速CFD软件平台”，解决了包括大型飞机、先进战斗机/导弹、高超声速飞行器等国家重大工程中的关键气动问题。获军队科技进步一等奖2项。带领的研究群体，获首届军队科技创新群体奖及首届全国专业技术人才先进集体。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201512-t20151224_4502077.html,邓小刚
数学物理学部,2011,数学家 1963年9月生于江苏省靖江市。1982年毕业于中国科技大学数学系，1985年获中国科学院计算中心硕士学位，1989年获美国加州大学洛杉矶分校（UCLA）博士学位。2011年当选为中国科学院院士。北京大学、普林斯顿大学教授。主要从事计算数学、应用数学及其在力学、物理、化学和工程等领域中的应用等方面的研究。与合作者一起把偏微分方程、随机分析及动力系统的理论巧妙地结合起来，用于研究随机 Burgers 方程，随机passive scalar方程，随机Navier-Stokes方程和Ginzburg-Landau 方程等，证明了不变测度的存在性和唯一性，分析了稳定解的特性，并在此基础上解决了Burgers 湍流模型中一些存有争议的问题；与合作者一起构造和建立了稀有事件的迁移路径的理论框架，并发展了一种十分有效的数值方法—弦方法。此方法已成为研究物理、生物和化学领域中稀有事件的一个重要手段 ；与合作者研究了弹性理论的微观基础，从量子力学和分子动力学模型出发导出了宏观层面下的非线性弹性理论，得到了经典的 Cauchy-Born 准则成立的稳定性条件。提出了设计与分析多物理模型的多尺度方法的一般框架。曾获国际工业与应用数学协会颁发的 Collatz 奖，首届美国青年科学家和工程师总统奖，冯康科学计算奖等。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201112-t20111213_3412298.html,鄂维南
数学物理学部,1995,天体物理学家 1938年8月生于云南昆明，籍贯江苏江阴。1959年毕业于南京大学天文系。1995年当选为中国科学院院士，2005年当选为第三世界科学院院士。南京大学教授。曾任南京大学天文系主任，《中国天文与天体物理学》(英文版)期刊主编，国家“攀登计划”项目首席科学家，中国天文学会理事长，国际天文学联合会副主席。首先系统掌握与运用非局部热动平衡理论并发展了整套的实用计算方法和程序，在太阳活动体结构和大气模型、耀斑谱线不对称性和速度场、耀斑动力学模型和光谱诊断等研究中获重要成果，主持设计和研制了我国第一座太阳塔，创建了太阳塔实验室。1987年获首届国家科技进步二等奖，1995年获国家教委科技进步奖一等奖，1997年获国家自然科学三等奖，2004年获教育部提名国家科学技术奖自然科学一等奖和何梁何利基金奖等多项奖项。主持研制了光学和近红外太阳爆发探测望远镜(ONSET)，2015年获教育部科技进步一等奖，2016年获国际空间委员会(COSPAR) 赵九章奖。1998年被评为全国教育系统劳动模范，并被授予全国模范教师称号。2008年获法国巴黎天文台授予的荣誉博士学位。2010年，国际天文学联合会将紫金山天文台于2007年12月14日发现的编号为185538号小行星命名为“方成星”。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090624_1792070.html,方成
数学物理学部,1991,加速器物理学家 1932年10月生于上海，籍贯安徽太平。1955年毕业于复旦大学。1991年当选为中国科学院学部委员(院士)。 中国科学院高能物理研究所研究员，北京正负电子对撞机国家实验室主任，曾任该所所长，中国科学院数学物理学部主任。20世纪60年代初，发现等时性回旋加速器中存在着一种由于自由振荡而引起的不等时性现象。1982～1983年在西欧联合核子研究中心工作，参加新型强流反质子积累环设计、负责聚焦结构设计，发展了一种适合于小中型环形加速器的消色散方法。1983～1986年参加北京正负电子对撞机(BEPC)储存环设计，对其理论设计作了改进。1986～1992年全面领导BEPC工程建设、运行及改进，按期完成投入运行，整机性能在国际同能区的机器中占领先地位。近期从事强流质子加速器、同步辐射光源、散裂中子源等前沿领域研究。 1990年获国家科技进步奖特等奖。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090624_1792069.html,方守贤
数学物理学部,2017,数学家。首都师范大学教授。1964年10月生于安徽省桐城市，籍贯安徽桐城。1986年毕业于华中科技大学， 1991年在吉林大学获博士学位。2017年当选为中国科学院院士。现任首都师范大学特聘教授。        主要从事微分几何与微分拓扑学的研究。在微分与拓扑范畴彻底解决了“四维流形到七维欧氏空间中的嵌入问题”，将Haefliger-Hirsch、吴文俊等人的工作中遗留下来多年悬而未决的重要公开问题画上句号。与人合作，证明了正曲率流形的π2有限性定理（同时独立得到的还有Petrunin-Tuschmann），被美国科学院院士Cheeger主编的权威综述报告列为有关领域有史以来九个主要定理之一，并被著名几何学家Berger写入历史性综述报告《二十世纪下半叶的黎曼几何》。与人合作，首次发现了Grove问题的反例，被国外权威专家作为牛津大学研究生教材丛书的重要内容，并以 “方-戎方法”冠名小节标题。与人合作，首次建立了Tits几何与一大类正曲率流形之间的联系，并得到了完整的拓扑分类。曾独立获得国家自然科学奖二等奖，应邀在第二十七届国际数学家大会上做45分钟报告。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201711-t20171129_4625040.html,方复全
数学物理学部,2015,物理学家 1969年6月生于江苏省无锡市。1985年考入中国科学技术大学少年班，1990年毕业于中国科学技术大学近代物理系，1997年和2000年在该校分别获硕士和博士学位。 2015年当选为中国科学院院士。中国科学技术大学教授。主要从事量子物理及其应用的实验研究。发展了自旋量子调控及动力学解耦等量子物理实验技术，结合系列高性能磁共振实验装备的自主研制，将磁共振探测的灵敏度和分辨率提升到国际领先水平。在量子物理应用于精密测量科学和信息科学的领域取得了重要进展，包括率先使用动力学解耦技术实现了真实噪声环境下固态电子自旋量子相干时间三个数量级的提升、首次在室温大气环境下获取单个蛋白质分子的顺磁共振谱及动力学性质、完成了大数质因数分解等系列量子算法和量子模拟实验等。曾获国家自然科学二等奖、教育部自然科学奖一等、中国物理学会黄昆物理奖等。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201512-t20151224_4502100.html,杜江峰
数学物理学部,1980,理论物理、粒子物理学家 1928年7月生于江苏南京，籍贯湖南常德。1952年毕业于南京大学。1961年在中国科学院数学研究所研究生毕业。1980年当选为中国科学院学部委员(院士)。中国科学院理论物理研究所研究员。曾任中国高能物理学会理事长。 主要从事量子场论和粒子物理理论方面的研究，并在奇异位势和非定域位势的瑞奇极点理论、层子模型研究、非交换群规范场论中费密子的电磁形状因子的高能渐近行为和重强子物理等方面取得一系列重要成果。主要成果有“奇异位势散射振幅的雷其行为”、“强相互作用粒子的结构模型”、“非Abel规范理论中形状因子高能行为的六阶计算”、《相互作用的规范理论》等。 1982年获国家自然科学奖二等奖。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090624_1792074.html,戴元本
数学物理学部,1980,物理学家 1918年8月生于江苏吴江。1941年毕业于浙江大学物理系。1948年获英国爱丁堡大学哲学博士学位。1980年当选为中国科学院学部委员(院士)。 中国人民解放军总装备部科技委顾问。曾任浙江大学、南京大学教授，第二机械工业部核武器研究所副所长，国防科工委核实验基地研究所副所长、所长及基地副司令员，国防科工委(总装备部)科技委常委、顾问。中国核武器研究的开创者之一，在核武器的研制和试验中作出突出贡献。开创、规划领导了抗辐射加固技术新领域研究。是我国定向能高功率微波研究新领域的开创者之一。出版了我国第一本固体物理学专著，提出了普遍的热力学内耗理论，导出了狄拉克方程，提出并发展了超导电双带理论和凝聚态TFDC电子理论。 1985年获国家科技进步奖特等奖，1999年被国家授予“两弹一星”功勋奖章。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090624_1792076.html,程开甲
